Time,SatTemp:,SatHumidity:,SatPressure:,SatAccel:,SatGpsNr:,SatLat:,SatLon:,SatGPSAlt:,PacketRssi:,BaseTemp:,BaseHumidity:,BasePressure:,TrackAltAngle:,TrackAziAngle,BaseGpsNr:,BaseLat:,BaseLon:,BaseGPSAlt:
37944,NaN,37.4,973.305,10.154,12.0,48.3991,13.45266,342.8,-107.0,24.0,37.9,974.352,-135.0,0.0,0.0,48.40147,13.44927,0.0
37945,25.6,37.4,973.296,10.241,12.0,48.3991,13.45266,342.8,-109.0,24.1,38.1,974.341,-135.0,0.0,0.0,48.40147,13.44927,0.0
37945,25.6,37.4,973.291,10.19,12.0,48.3991,13.45266,342.8,-108.0,24.1,38.3,974.344,-135.0,0.0,0.0,48.40147,13.44926,0.0
37945,25.6,37.4,973.295,10.147,12.0,48.3991,13.45266,342.7,-106.0,24.1,38.6,974.329,-135.0,0.0,10.0,48.40147,13.44926,327.8
37946,25.6,37.4,973.291,10.183,12.0,48.3991,13.45266,342.7,-106.0,24.1,38.7,974.373,-135.0,0.0,10.0,48.40147,13.44926,327.8
37946,25.6,37.4,973.305,10.205,12.0,48.3991,13.45266,342.7,-106.0,24.1,38.9,974.352,-135.0,0.0,10.0,48.40147,13.44926,327.8
37946,25.6,37.4,973.302,10.183,12.0,48.3991,13.45266,342.7,-111.0,24.1,39.0,974.388,-135.0,0.0,10.0,48.40147,13.44926,328.0
37947,25.6,37.4,973.29,10.19,12.0,48.3991,13.45266,342.7,-111.0,24.1,39.2,974.363,-135.0,0.0,10.0,48.40147,13.44926,328.0
37947,25.6,37.4,973.317,10.176,12.0,48.3991,13.45266,342.7,-109.0,24.1,39.3,974.36,-135.0,0.0,10.0,48.40146,13.44927,328.0
37947,25.6,37.4,973.301,10.168,12.0,48.3991,13.45266,342.5,-108.0,24.1,39.4,974.412,-135.0,0.0,9.0,48.40146,13.44927,328.1
37948,25.6,37.4,973.298,10.154,12.0,48.3991,13.45266,342.5,-109.0,24.1,39.3,974.315,-135.0,0.0,9.0,48.40146,13.44927,328.1
37948,25.6,37.4,973.27,10.139,12.0,48.3991,13.45266,342.5,-109.0,24.1,39.2,974.361,-135.0,0.0,9.0,48.40146,13.44927,328.1
